group_id,cell_type,training_count,log10_training_count,n_real,n_gen,centroid_cosine,frechet_distance,diversity_ratio,expr_pearson_r
43,Club (Clara) secretory cells,1222,3.0870712059065353,1222,100,0.8933357000350952,1.0899921862072595,0.8803763389587402,0.9999562501907349
42,Basal epithelial cells,1228,3.089198366805149,1228,100,0.8940885066986084,1.0869666775216884,0.8708428740501404,0.999976634979248
41,Luminal epithelial cells,1235,3.0916669575956846,1235,100,0.9214144349098206,1.1102888325207751,0.9391916990280151,0.9999521970748901
40,Hippocampal dentate gyrus granule cells,1296,3.1126050015345745,1296,100,0.9135411977767944,1.0444660101984988,0.9393306374549866,0.9999210238456726
39,Alveolar type 1 (AT1) pneumocytes,1308,3.1166077439882485,1308,100,0.8727642893791199,1.1160730785474247,0.8778520822525024,0.9999701380729675
38,Pancreatic alpha cells,1420,3.1522883443830567,1420,100,0.9455161094665527,1.0816564530803277,0.9118788838386536,0.9999595284461975
37,Exhausted T cells,1452,3.161966616364075,1452,100,0.9284366369247437,1.124573323631943,0.948544979095459,0.9999175071716309
36,Capillary endothelial cells,1454,3.162564406523019,1454,100,0.914571225643158,1.1038806950787465,0.8918264508247375,0.9999849200248718
35,Astrocytes,1503,3.176958980586908,1503,100,0.928469181060791,1.1278442265839148,0.9264196753501892,0.9999692440032959
34,Hematopoietic stem and progenitor cells (HSPCs),1530,3.184691430817599,1530,100,0.9341170787811279,1.1228877076814898,,0.9999483227729797
33,Urothelial (transitional) epithelial cells,1583,3.199480914862356,1583,100,0.9414480328559875,1.050906967643826,,0.9999601244926453
32,Excitatory glutamatergic neurons,1690,3.2278867046136734,1690,100,0.826387345790863,1.1593837247139123,0.9211558699607849,0.9999678730964661
31,Mature red blood cells (erythrocytes),1715,3.2342641243787895,1715,100,0.9286677837371826,1.1214328632278447,0.9396348595619202,0.9999557137489319
30,Venous endothelial cells,1790,3.2528530309798933,1790,100,0.9445339441299438,1.039201457495348,0.9333800673484802,0.9999691843986511
29,Müller glial cells,1814,3.2586372827240764,1814,100,0.9096683859825134,1.157112398773682,0.9648159742355347,0.9999702572822571
28,Prostate luminal epithelial cells,1902,3.279210512601395,1902,100,0.9508481621742249,1.0561924973224355,0.9069621562957764,0.9999715089797974
